[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:17] 🚀 DUELING DOUBLE DQN + DUAL HEAD TRAINING
[2026-01-12 01:43:17]    Device: cuda
[2026-01-12 01:43:17]    Action Size: 8, Duration Size: 6
[2026-01-12 01:43:17]    Loss: action_loss + 0.2 * duration_loss
[2026-01-12 01:43:17]    Layer: 3, MaxSize: 2048, LR: 0.001
[2026-01-12 01:43:17]    Log File: DDDQN_DualHead_log_lr_0_001_L3_S2048.txt
[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:19] 
📊 Training started at 01:43:19
[2026-01-12 01:43:19] ------------------------------------------------------------
[2026-01-12 01:45:30] [Ep  3400] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.9 | A_Loss: 27.696 | D_Loss: 27.683 | Speed: 24.3 ep/s | Avg Speed:  67.91 km/h | Time: 01:45:30
[2026-01-12 01:45:34] [Ep  3500] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -152.3 | A_Loss: 28.055 | D_Loss: 28.050 | Speed: 24.3 ep/s | Avg Speed:  67.35 km/h | Time: 01:45:34
[2026-01-12 01:45:38] [Ep  3600] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -154.3 | A_Loss: 28.577 | D_Loss: 28.568 | Speed: 24.4 ep/s | Avg Speed:  67.99 km/h | Time: 01:45:38
[2026-01-12 01:45:42] [Ep  3700] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.3 | A_Loss: 28.261 | D_Loss: 28.256 | Speed: 24.5 ep/s | Avg Speed:  66.81 km/h | Time: 01:45:42
[2026-01-12 01:45:46] [Ep  3800] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.4 | A_Loss: 28.157 | D_Loss: 28.151 | Speed: 24.4 ep/s | Avg Speed:  67.33 km/h | Time: 01:45:46
[2026-01-12 01:45:51] [Ep  3900] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.6 | A_Loss: 27.943 | D_Loss: 27.941 | Speed: 24.4 ep/s | Avg Speed:  67.92 km/h | Time: 01:45:51
[2026-01-12 01:45:55] [Ep  4000] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -159.5 | A_Loss: 28.640 | D_Loss: 28.639 | Speed: 24.7 ep/s | Avg Speed:  66.93 km/h | Time: 01:45:55
[2026-01-12 01:45:59] [Ep  4100] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -156.4 | A_Loss: 28.088 | D_Loss: 28.086 | Speed: 24.2 ep/s | Avg Speed:  67.00 km/h | Time: 01:45:59
[2026-01-12 01:46:03] [Ep  4200] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -152.8 | A_Loss: 28.611 | D_Loss: 28.610 | Speed: 23.5 ep/s | Avg Speed:  68.34 km/h | Time: 01:46:03
[2026-01-12 01:46:07] [Ep  4300] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -153.5 | A_Loss: 28.545 | D_Loss: 28.551 | Speed: 24.9 ep/s | Avg Speed:  67.70 km/h | Time: 01:46:07
